,Time (s),Current (A),Voltage (V)
0,0.0,-4.50004,4.06233
1,10.0,-4.50004,4.03624
2,20.0,-4.50004,4.01625
3,30.0,-4.50011,3.99977
4,40.0,-4.50004,3.9849699999999997
5,50.0,-4.49989,3.97139
6,60.0,-4.50004,3.9590300000000003
7,70.0,-4.49989,3.94789
8,80.0,-4.49981,3.93721
9,90.0,-4.49989,3.9274400000000003
10,100.0,-4.50004,3.91814
11,110.0,-4.50004,3.90944
12,120.0,-4.49981,3.9015
13,130.0,-4.49989,3.8935699999999995
14,140.0,-4.50019,3.8856300000000004
15,150.0,-4.50004,3.87816
16,160.0,-4.4997300000000005,3.87114
17,170.0,-4.49989,3.86381
18,180.0,-4.50004,3.85679
19,190.0,-4.49996,3.8502300000000003
20,200.0,-4.50011,3.84321
21,210.0,-4.49981,3.8365
22,220.0,-4.50004,3.82994
23,230.0,-4.49996,3.8232199999999996
24,240.0,-4.50019,3.81651
25,250.0,-4.49996,3.8101
26,260.0,-4.49996,3.80369
27,270.0,-4.50004,3.79713
28,280.0,-4.50011,3.79103
29,290.0,-4.50011,3.7849199999999996
30,300.0,-4.50019,3.77852
31,310.0,-4.50011,3.77241
32,320.0,-4.49989,3.76631
33,330.0,-4.50011,3.76005
34,340.0,-4.50004,3.75425
35,350.0,-4.50004,3.748
36,360.0,-4.50004,3.74159
37,370.0,-4.50004,3.73564
38,380.0,-4.50019,3.72969
39,390.0,-4.50019,3.72358
40,400.0,-4.49989,3.71748
41,410.0,-4.50019,3.71138
42,420.0,-4.4997300000000005,3.7051199999999995
43,430.0,-4.49996,3.69841
44,440.0,-4.50004,3.69215
45,450.0,-4.5002699999999995,3.6855900000000004
46,460.0,-4.49996,3.6784199999999996
47,470.0,-4.49996,3.67185
48,480.0,-4.50004,3.6648400000000003
49,490.0,-4.50004,3.65766
50,500.0,-4.49981,3.6501900000000003
51,510.0,-4.49996,3.64225
52,520.0,-4.50011,3.63447
53,530.0,-4.49996,3.6262300000000005
54,540.0,-4.50004,3.61784
55,550.0,-4.49996,3.60914
56,560.0,-4.49989,3.5999800000000004
57,570.0,-4.49981,3.59159
58,580.0,-4.50004,3.5822800000000004
59,590.0,-4.50004,3.57343
60,600.0,-4.49996,3.5641300000000005
61,610.0,-4.49996,3.55528
62,620.0,-4.50004,3.5461199999999997
63,630.0,-4.50004,3.5377300000000003
64,640.0,-4.50019,3.52949
65,650.0,-4.50019,3.52125
66,660.0,-4.5002699999999995,3.51347
67,670.0,-4.50004,3.5062900000000004
68,680.0,-4.50004,3.49882
69,690.0,-4.5002699999999995,3.4918
70,700.0,-4.49989,3.48539
71,710.0,-4.50004,3.4791300000000005
72,720.0,-4.50004,3.47318
73,730.0,-4.50011,3.46708
74,740.0,-4.49981,3.46159
75,750.0,-4.49996,3.45609
76,760.0,-4.50011,3.4509
77,770.0,-4.49996,3.4457199999999997
78,780.0,-4.50019,3.4405300000000003
79,790.0,-4.50004,3.43488
80,800.0,-4.49989,3.43
81,810.0,-4.49989,3.42481
82,820.0,-4.50011,3.4196199999999997
83,830.0,-4.49996,3.41428
84,840.0,-4.50019,3.40879
85,850.0,-4.49989,3.4036
86,860.0,-4.50004,3.39826
87,870.0,-4.50004,3.39246
88,880.0,-4.49989,3.38666
89,890.0,-4.50004,3.38087
90,900.0,-4.50004,3.3747599999999998
91,910.0,-4.50004,3.3685099999999997
92,920.0,-4.5002699999999995,3.36194
93,930.0,-4.49996,3.3550800000000005
94,940.0,-4.49981,3.3479099999999997
95,950.0,-4.50011,3.3404300000000005
96,960.0,-4.50011,3.33219
97,970.0,-4.50004,3.32395
98,980.0,-4.50011,3.3146400000000003
99,990.0,-4.49989,3.30442
100,1000.0,-4.50011,3.2935800000000004
101,1010.0,-4.49989,3.2813800000000004
102,1020.0,-4.49996,3.26764
103,1030.0,-4.49996,3.25177
104,1040.0,-4.49996,3.23255
105,1050.0,-4.49996,3.2092
106,1060.0,-4.49989,3.17746
107,1070.0,-4.50011,3.1316900000000003
108,1080.0,-4.50019,3.06012
109,1090.0,-4.49996,2.9407900000000002
110,1100.0,-4.50011,2.71679
111,1105.8199999999924,-4.50004,2.49966
