,Time (s),Current (A),Voltage (V)
0,0.0,3.99985,3.41108
1,10.0,4.0000800000000005,3.49775
2,20.0,3.99977,3.5516099999999997
3,30.0,3.99985,3.5861
4,40.0,3.99985,3.5998300000000003
5,50.0,3.99977,3.6079199999999996
6,60.0,4.0,3.6157
7,70.0,4.0000800000000005,3.62379
8,80.0,4.00031,3.63188
9,90.0,4.0000800000000005,3.63996
10,100.0,4.0,3.64805
11,110.0,4.0,3.6558300000000004
12,120.0,4.0,3.663
13,130.0,4.0,3.6703300000000003
14,140.0,3.99992,3.67735
15,150.0,4.0,3.68437
16,160.0,3.99985,3.6915400000000003
17,170.0,4.0,3.69841
18,180.0,3.99992,3.7054199999999997
19,190.0,3.99977,3.71199
20,200.0,3.99985,3.71855
21,210.0,4.0,3.72496
22,220.0,3.99985,3.7303
23,230.0,4.0000800000000005,3.73564
24,240.0,3.99977,3.7403699999999995
25,250.0,3.99992,3.7451
26,260.0,3.99992,3.7492199999999998
27,270.0,3.99992,3.75334
28,280.0,4.0,3.75746
29,290.0,4.0000800000000005,3.7614300000000003
30,300.0,3.99969,3.76555
31,310.0,3.99992,3.77012
32,320.0,4.0,3.77409
33,330.0,4.0,3.7788199999999996
34,340.0,3.99977,3.78325
35,350.0,4.0,3.78813
36,360.0,4.0,3.79316
37,370.0,4.0000800000000005,3.79835
38,380.0,4.0000800000000005,3.8035400000000004
39,390.0,3.99992,3.80873
40,400.0,4.0,3.8139199999999995
41,410.0,3.99985,3.81956
42,420.0,3.99992,3.8256699999999997
43,430.0,4.0000800000000005,3.83085
44,440.0,3.99992,3.83696
45,450.0,3.99985,3.84306
46,460.0,4.0,3.8488599999999997
47,470.0,4.0000800000000005,3.8552699999999995
48,480.0,4.0000800000000005,3.8618300000000003
49,490.0,3.99992,3.86839
50,500.0,3.99992,3.87465
51,510.0,4.0,3.88182
52,520.0,4.0,3.88838
53,530.0,3.99992,3.8957
54,540.0,4.0,3.90288
55,550.0,4.0,3.9099
56,560.0,4.0,3.9169099999999997
57,570.0,3.99985,3.92424
58,580.0,4.0000800000000005,3.93095
59,590.0,4.0,3.9381199999999996
60,600.0,3.99992,3.9451400000000003
61,610.0,4.0,3.9521599999999997
62,620.0,4.0000800000000005,3.9587199999999996
63,630.0,4.0,3.9651300000000003
64,640.0,3.99985,3.97185
65,650.0,3.99985,3.97841
66,660.0,4.0,3.9845099999999998
67,670.0,3.99992,3.99077
68,680.0,3.99992,3.9970199999999996
69,690.0,4.0,4.00298
70,700.0,4.0,4.00893
71,710.0,4.0000800000000005,4.01534
72,720.0,4.0,4.020980000000001
73,730.0,3.99992,4.027080000000001
74,740.0,3.99992,4.0328800000000005
75,750.0,3.99985,4.03883
76,760.0,4.0,4.04479
77,770.0,4.00031,4.05089
78,780.0,4.0,4.05684
79,790.0,4.00015,4.0631
80,800.0,3.99985,4.0692
81,810.0,4.0000800000000005,4.07561
82,820.0,4.0000800000000005,4.08186
83,830.0,4.0000800000000005,4.08812
84,840.0,3.99985,4.09499
85,850.0,3.99985,4.10124
86,860.0,4.0,4.10811
87,870.0,4.0,4.11498
88,880.0,4.0000800000000005,4.12154
89,890.0,4.0,4.12871
90,900.0,4.0000800000000005,4.135730000000001
91,910.0,3.99992,4.14275
92,920.0,4.0,4.149769999999999
93,930.0,3.99992,4.156630000000001
94,940.0,3.99977,4.1635
95,950.0,3.9996199999999997,4.17082
96,960.0,4.0000800000000005,4.17739
97,970.0,4.00015,4.18456
98,980.0,3.99992,4.19142
99,990.0,3.99985,4.19844
100,992.4099999999744,3.9996199999999997,4.1999699999999995
101,992.4400000000023,3.83406,4.19722
102,1002.4400000000023,3.82246,4.2018
103,1012.4400000000023,3.60929,4.20195
104,1022.4400000000023,3.4422800000000002,4.20211
105,1032.4400000000023,3.2957199999999998,4.2018
106,1042.4400000000023,3.1583900000000003,4.20195
107,1052.4400000000023,3.02815,4.2018
108,1062.4400000000023,2.90318,4.2018
109,1072.4400000000023,2.78721,4.20195
110,1082.4400000000023,2.6714700000000002,4.2015
111,1092.4400000000023,2.56573,4.20165
112,1102.4400000000023,2.46212,4.2015
113,1112.4400000000023,2.36484,4.2018
114,1122.4400000000023,2.2678700000000003,4.2015
115,1132.4400000000023,2.17929,4.2015
116,1142.4400000000023,2.0901,4.20165
117,1152.4400000000023,2.00542,4.20165
118,1162.4400000000023,1.92363,4.2015
119,1172.4400000000023,1.84581,4.2015
120,1182.4400000000023,1.7689,4.20134
121,1192.4400000000023,1.69245,4.20119
122,1202.4400000000023,1.61624,4.20104
123,1212.4400000000023,1.542,4.20043
124,1222.4400000000023,1.4840200000000001,4.20043
125,1232.4400000000023,1.4270200000000002,4.20043
126,1242.4400000000023,1.37079,4.20027
127,1252.4400000000023,1.31701,4.20027
128,1262.4400000000023,1.26696,4.20012
129,1272.4400000000023,1.21576,4.20027
130,1282.4400000000023,1.16724,4.20027
131,1292.4400000000023,1.12192,4.20027
132,1302.4400000000023,1.0782,4.20012
133,1312.4400000000023,1.0351,4.20027
134,1322.4400000000023,0.99466,4.20027
135,1332.4400000000023,0.9565100000000001,4.20027
136,1342.4400000000023,0.9176,4.20012
137,1352.4400000000023,0.88434,4.1999699999999995
138,1362.4400000000023,0.8494700000000001,4.20027
139,1372.4400000000023,0.8165899999999999,4.20012
140,1382.4400000000023,0.78561,4.20012
141,1392.4400000000023,0.75631,4.1999699999999995
142,1402.4400000000023,0.72778,4.1999699999999995
143,1412.4400000000023,0.69863,4.20012
144,1422.4400000000023,0.67384,4.1999699999999995
145,1432.4400000000023,0.64942,4.20012
146,1442.4400000000023,0.62562,4.1999699999999995
147,1452.4400000000023,0.60235,4.1999699999999995
148,1462.4400000000023,0.58099,4.1999699999999995
149,1472.4400000000023,0.55985,4.20027
150,1482.4400000000023,0.53872,4.19982
151,1492.4400000000023,0.51865,4.1999699999999995
152,1502.4400000000023,0.5011800000000001,4.20012
153,1512.4400000000023,0.48425,4.20012
154,1522.4400000000023,0.46624,4.19966
155,1532.4400000000023,0.45022,4.20012
156,1542.4400000000023,0.43473,4.1999699999999995
157,1552.4400000000023,0.42023,4.20012
158,1562.4400000000023,0.40543,4.20012
159,1572.4400000000023,0.39055,4.1999699999999995
160,1582.4400000000023,0.37758,4.20012
161,1592.4400000000023,0.36408,4.1999699999999995
162,1602.4400000000023,0.35218,4.1999699999999995
163,1612.4400000000023,0.3415,4.20012
164,1622.4400000000023,0.33127,4.20012
165,1632.4400000000023,0.32051999999999997,4.19982
166,1642.4400000000023,0.30884,4.20012
167,1652.4400000000023,0.29969,4.1999699999999995
168,1662.4400000000023,0.28862,4.20012
169,1672.4400000000023,0.2813,4.20012
170,1682.4400000000023,0.27253,4.1999699999999995
171,1692.4400000000023,0.26314,4.20027
172,1702.4400000000023,0.25566,4.20027
173,1712.4400000000023,0.24704,4.19966
174,1722.4400000000023,0.23940999999999998,4.1999699999999995
175,1732.4400000000023,0.23285,4.1999699999999995
176,1742.4400000000023,0.22469,4.19982
177,1752.4400000000023,0.21805,4.1999699999999995
178,1762.4400000000023,0.21263,4.19982
179,1772.4400000000023,0.20653000000000002,4.19982
180,1782.4400000000023,0.19997,4.1999699999999995
181,1792.4400000000023,0.19333,4.20043
182,1802.4400000000023,0.18853,4.1999699999999995
183,1812.4400000000023,0.1825,4.1999699999999995
184,1822.4400000000023,0.17754,4.1999699999999995
185,1832.4400000000023,0.17128,4.19982
186,1842.4400000000023,0.16884000000000002,4.19982
187,1852.4400000000023,0.16258,4.19982
188,1862.4400000000023,0.15877,4.19982
189,1872.4400000000023,0.15412,4.1999699999999995
190,1882.4400000000023,0.14908,4.1999699999999995
191,1892.4400000000023,0.14458,4.1999699999999995
192,1902.4400000000023,0.14023,4.19982
193,1912.4400000000023,0.13863,4.20012
194,1922.4400000000023,0.13512000000000002,4.20012
195,1932.4400000000023,0.13077,4.20012
196,1942.4400000000023,0.12902,4.19982
197,1952.4400000000023,0.12674000000000002,4.1999699999999995
198,1962.4400000000023,0.12592,4.20012
199,1972.4400000000023,0.12460999999999998,4.20012
200,1982.4400000000023,0.1229,4.20043
201,1992.4400000000023,0.12092,4.20043
202,2002.4400000000023,0.11878,4.20043
203,2012.4400000000023,0.11657999999999999,4.20043
204,2022.4400000000023,0.11435,4.20043
205,2032.4400000000023,0.11208,4.20073
206,2042.4400000000023,0.10982,4.20089
207,2052.4400000000023,0.10754000000000001,4.20058
208,2062.4400000000023,0.10525999999999999,4.20089
209,2072.4400000000023,0.10296,4.20104
210,2082.4400000000023,0.10067999999999999,4.20089
211,2085.4500000000116,0.1,4.20073
