,Time (s),Current (A),Voltage (V)
0,0.0,-4.50004,4.0605
1,10.0,-4.50004,4.0359300000000005
2,20.0,-4.49981,4.01762
3,30.0,-4.50011,4.00298
4,40.0,-4.49996,3.9897
5,50.0,-4.49989,3.9782599999999997
6,60.0,-4.49989,3.96696
7,70.0,-4.49996,3.95705
8,80.0,-4.49989,3.94743
9,90.0,-4.50004,3.9384300000000003
10,100.0,-4.50011,3.92973
11,110.0,-4.50011,3.9214900000000004
12,120.0,-4.49981,3.91356
13,130.0,-4.5002699999999995,3.90608
14,140.0,-4.49989,3.8986
15,150.0,-4.50011,3.89128
16,160.0,-4.50004,3.8841099999999997
17,170.0,-4.50004,3.87724
18,180.0,-4.50004,3.8705300000000005
19,190.0,-4.5002699999999995,3.8635099999999998
20,200.0,-4.50004,3.85649
21,210.0,-4.50019,3.85039
22,220.0,-4.49981,3.8433699999999997
23,230.0,-4.50011,3.8368
24,240.0,-4.50011,3.83055
25,250.0,-4.50004,3.8238300000000005
26,260.0,-4.50019,3.8172699999999997
27,270.0,-4.49989,3.8110199999999996
28,280.0,-4.50004,3.80461
29,290.0,-4.50011,3.79789
30,300.0,-4.49981,3.79164
31,310.0,-4.50011,3.7853800000000004
32,320.0,-4.49996,3.7792800000000004
33,330.0,-4.50011,3.7728699999999997
34,340.0,-4.49989,3.76631
35,350.0,-4.49996,3.7602
36,360.0,-4.50019,3.7536400000000003
37,370.0,-4.50011,3.74739
38,380.0,-4.49989,3.7409800000000004
39,390.0,-4.49996,3.73487
40,400.0,-4.50004,3.72801
41,410.0,-4.50019,3.7216
42,420.0,-4.50004,3.71504
43,430.0,-4.4997300000000005,3.70802
44,440.0,-4.49989,3.70115
45,450.0,-4.50019,3.69429
46,460.0,-4.49996,3.68727
47,470.0,-4.50011,3.67994
48,480.0,-4.5002699999999995,3.67231
49,490.0,-4.49989,3.6645300000000005
50,500.0,-4.49989,3.6566
51,510.0,-4.49981,3.6482
52,520.0,-4.5002699999999995,3.6398099999999998
53,530.0,-4.50011,3.63111
54,540.0,-4.50004,3.62226
55,550.0,-4.50004,3.61326
56,560.0,-4.49996,3.60395
57,570.0,-4.49989,3.59449
58,580.0,-4.50019,3.58503
59,590.0,-4.50019,3.57542
60,600.0,-4.49996,3.5662599999999998
61,610.0,-4.50004,3.55665
62,620.0,-4.49981,3.54734
63,630.0,-4.49989,3.5388
64,640.0,-4.49996,3.5301
65,650.0,-4.50004,3.5214
66,660.0,-4.49996,3.5133099999999997
67,670.0,-4.50011,3.5055300000000003
68,680.0,-4.50011,3.49836
69,690.0,-4.50004,3.4910400000000004
70,700.0,-4.50011,3.4841699999999998
71,710.0,-4.49989,3.4773
72,720.0,-4.50004,3.47105
73,730.0,-4.50004,3.4649400000000004
74,740.0,-4.49996,3.4588400000000004
75,750.0,-4.49981,3.45319
76,760.0,-4.50011,3.4477
77,770.0,-4.49996,3.44205
78,780.0,-4.50011,3.4367099999999997
79,790.0,-4.50019,3.4312199999999997
80,800.0,-4.49981,3.4258800000000003
81,810.0,-4.50004,3.42023
82,820.0,-4.4997300000000005,3.41489
83,830.0,-4.50004,3.4094
84,840.0,-4.49989,3.40406
85,850.0,-4.49981,3.39811
86,860.0,-4.50019,3.39246
87,870.0,-4.49981,3.38666
88,880.0,-4.49996,3.3801
89,890.0,-4.50004,3.3743
90,900.0,-4.50004,3.36744
91,910.0,-4.49996,3.3604199999999995
92,920.0,-4.49989,3.3534
93,930.0,-4.50004,3.34577
94,940.0,-4.50011,3.33768
95,950.0,-4.50011,3.32914
96,960.0,-4.49996,3.3198300000000005
97,970.0,-4.50011,3.31006
98,980.0,-4.49989,3.29892
99,990.0,-4.49996,3.2868699999999995
100,1000.0,-4.49989,3.2734400000000003
101,1010.0,-4.50004,3.2587900000000003
102,1020.0,-4.50004,3.2410900000000002
103,1030.0,-4.49996,3.2204900000000003
104,1040.0,-4.49996,3.19501
105,1050.0,-4.49996,3.16205
106,1060.0,-4.49989,3.11948
107,1070.0,-4.49989,3.0622599999999998
108,1080.0,-4.49989,2.98352
109,1090.0,-4.49989,2.86877
110,1100.0,-4.49989,2.65988
111,1104.9100000000035,-4.50004,2.49966
