,Time (s),Current (A),Voltage (V)
0,0.0,-4.49981,4.0428
1,10.0,-4.50011,4.01732
2,20.0,-4.50011,3.9996199999999997
3,30.0,-4.50004,3.98573
4,40.0,-4.49996,3.9738300000000004
5,50.0,-4.50011,3.9626900000000003
6,60.0,-4.49996,3.9527699999999997
7,70.0,-4.50004,3.9436199999999997
8,80.0,-4.5002699999999995,3.93477
9,90.0,-4.49981,3.92653
10,100.0,-4.49996,3.9182900000000003
11,110.0,-4.49989,3.91066
12,120.0,-4.49996,3.9031800000000003
13,130.0,-4.50004,3.8957
14,140.0,-4.50004,3.8885300000000003
15,150.0,-4.49996,3.88136
16,160.0,-4.50011,3.87434
17,170.0,-4.49996,3.8671699999999998
18,180.0,-4.50004,3.86046
19,190.0,-4.49989,3.85344
20,200.0,-4.50011,3.84703
21,210.0,-4.49996,3.84016
22,220.0,-4.49989,3.83345
23,230.0,-4.50004,3.82689
24,240.0,-4.50004,3.8201699999999996
25,250.0,-4.50004,3.8136099999999997
26,260.0,-4.50004,3.8072
27,270.0,-4.49996,3.80049
28,280.0,-4.49996,3.79408
29,290.0,-4.50004,3.78767
30,300.0,-4.49996,3.78157
31,310.0,-4.49989,3.77501
32,320.0,-4.50011,3.7689
33,330.0,-4.50004,3.76249
34,340.0,-4.50004,3.75593
35,350.0,-4.49989,3.7495199999999995
36,360.0,-4.50011,3.74327
37,370.0,-4.4997300000000005,3.73686
38,380.0,-4.50004,3.7303
39,390.0,-4.49989,3.72358
40,400.0,-4.49989,3.7168699999999997
41,410.0,-4.50019,3.7103099999999998
42,420.0,-4.50019,3.70329
43,430.0,-4.49989,3.6962699999999997
44,440.0,-4.49989,3.68894
45,450.0,-4.49996,3.6816199999999997
46,460.0,-4.49996,3.67369
47,470.0,-4.50004,3.6656
48,480.0,-4.49996,3.65721
49,490.0,-4.50011,3.6488099999999997
50,500.0,-4.50019,3.63996
51,510.0,-4.50019,3.63081
52,520.0,-4.50011,3.62135
53,530.0,-4.49989,3.6111199999999997
54,540.0,-4.49989,3.60105
55,550.0,-4.49989,3.59113
56,560.0,-4.50011,3.58091
57,570.0,-4.50004,3.57053
58,580.0,-4.50004,3.56046
59,590.0,-4.4997300000000005,3.55039
60,600.0,-4.50004,3.5409300000000004
61,610.0,-4.50011,3.5314699999999997
62,620.0,-4.50004,3.5223199999999997
63,630.0,-4.4997300000000005,3.51347
64,640.0,-4.50004,3.5047699999999997
65,650.0,-4.50004,3.4965300000000004
66,660.0,-4.50019,3.4889
67,670.0,-4.49996,3.4811199999999998
68,680.0,-4.4997300000000005,3.47364
69,690.0,-4.49996,3.46662
70,700.0,-4.50011,3.4596
71,710.0,-4.50004,3.45304
72,720.0,-4.49981,3.44694
73,730.0,-4.49996,3.44038
74,740.0,-4.49981,3.4341199999999996
75,750.0,-4.49996,3.4281699999999997
76,760.0,-4.49989,3.42191
77,770.0,-4.5002699999999995,3.41581
78,780.0,-4.50011,3.4098599999999997
79,790.0,-4.50011,3.40406
80,800.0,-4.49989,3.39811
81,810.0,-4.50004,3.39155
82,820.0,-4.50004,3.38575
83,830.0,-4.49989,3.3791900000000004
84,840.0,-4.50019,3.37278
85,850.0,-4.50004,3.3662199999999998
86,860.0,-4.49981,3.3592
87,870.0,-4.50004,3.35187
88,880.0,-4.49996,3.34455
89,890.0,-4.49996,3.3364599999999998
90,900.0,-4.50004,3.3283699999999996
91,910.0,-4.49996,3.3193699999999997
92,920.0,-4.50004,3.31006
93,930.0,-4.49989,3.29984
94,940.0,-4.49989,3.28885
95,950.0,-4.50004,3.2768
96,960.0,-4.50011,3.26337
97,970.0,-4.49996,3.24842
98,980.0,-4.49996,3.23117
99,990.0,-4.50011,3.21103
100,1000.0,-4.50019,3.18723
101,1010.0,-4.50004,3.15869
102,1020.0,-4.50004,3.1236
103,1030.0,-4.49989,3.08118
104,1040.0,-4.49989,3.0293
105,1050.0,-4.50004,2.9649
106,1060.0,-4.49981,2.88174
107,1070.0,-4.49996,2.75433
108,1080.0,-4.50004,2.55978
109,1082.4899999999907,-4.50011,2.4999599999999997
