,Time (s),Current (A),Voltage (V)
0,0.0,3.99992,3.4167199999999998
1,10.0,4.0000800000000005,3.49851
2,20.0,4.0,3.55055
3,30.0,3.99992,3.5813699999999997
4,40.0,3.99992,3.5943400000000003
5,50.0,3.99985,3.6024300000000005
6,60.0,4.0000800000000005,3.61067
7,70.0,4.0,3.61891
8,80.0,3.99992,3.62699
9,90.0,4.0,3.63493
10,100.0,4.0,3.6431699999999996
11,110.0,3.99992,3.6508
12,120.0,3.99985,3.65812
13,130.0,3.99992,3.66545
14,140.0,4.0,3.6724699999999997
15,150.0,3.99985,3.6790300000000005
16,160.0,3.99992,3.68635
17,170.0,4.0000800000000005,3.69337
18,180.0,4.0000800000000005,3.70024
19,190.0,3.99992,3.70695
20,200.0,4.00015,3.7133599999999998
21,210.0,3.99992,3.71916
22,220.0,4.0,3.7245
23,230.0,3.99992,3.7298400000000003
24,240.0,4.00015,3.7345699999999997
25,250.0,4.00015,3.7389900000000003
26,260.0,3.99992,3.7431099999999997
27,270.0,4.0000800000000005,3.7470800000000004
28,280.0,3.99985,3.75105
29,290.0,4.0,3.75486
30,300.0,4.0000800000000005,3.75883
31,310.0,4.00023,3.76341
32,320.0,3.99992,3.76738
33,330.0,4.0000800000000005,3.7718
34,340.0,3.99992,3.77638
35,350.0,4.0000800000000005,3.78096
36,360.0,4.0000800000000005,3.7858400000000003
37,370.0,4.0000800000000005,3.7905699999999998
38,380.0,4.0,3.79545
39,390.0,3.99992,3.80049
40,400.0,3.99992,3.8055199999999996
41,410.0,3.99985,3.81071
42,420.0,3.99977,3.81575
43,430.0,4.0,3.82139
44,440.0,3.99992,3.82689
45,450.0,4.0,3.8326800000000003
46,460.0,3.99992,3.83848
47,470.0,4.0,3.8442800000000004
48,480.0,3.99992,3.85054
49,490.0,3.99977,3.85679
50,500.0,4.0000800000000005,3.8635099999999998
51,510.0,4.0000800000000005,3.8700699999999997
52,520.0,4.0000800000000005,3.87709
53,530.0,4.00015,3.8838
