,Time (s),Current (A),Voltage (V)
0,0.0,-4.49989,4.0518
1,10.0,-4.50004,4.0273900000000005
2,20.0,-4.49996,4.00938
3,30.0,-4.49989,3.9955
4,40.0,-4.49996,3.98268
5,50.0,-4.49996,3.97139
6,60.0,-4.50004,3.96101
7,70.0,-4.50004,3.95155
8,80.0,-4.4996599999999995,3.94255
9,90.0,-4.49981,3.934
10,100.0,-4.50004,3.9254599999999997
11,110.0,-4.50011,3.9176800000000003
12,120.0,-4.50011,3.9099
13,130.0,-4.49989,3.9024199999999998
14,140.0,-4.50004,3.8946400000000003
15,150.0,-4.50011,3.8876199999999996
16,160.0,-4.49981,3.8806
17,170.0,-4.49996,3.87373
18,180.0,-4.50011,3.8670199999999997
19,190.0,-4.50011,3.8603
20,200.0,-4.50004,3.8532800000000003
21,210.0,-4.49989,3.84672
22,220.0,-4.49989,3.84001
23,230.0,-4.50011,3.83345
24,240.0,-4.50019,3.82689
25,250.0,-4.49989,3.8203300000000002
26,260.0,-4.50011,3.81376
27,270.0,-4.49996,3.80735
28,280.0,-4.50004,3.80079
29,290.0,-4.49989,3.79423
30,300.0,-4.49989,3.7878199999999995
31,310.0,-4.49981,3.7817199999999995
32,320.0,-4.50004,3.7753099999999997
33,330.0,-4.50004,3.76875
34,340.0,-4.49996,3.76249
35,350.0,-4.49996,3.75624
36,360.0,-4.49989,3.74983
37,370.0,-4.49996,3.7434199999999995
38,380.0,-4.49996,3.7370099999999997
39,390.0,-4.49996,3.7306
40,400.0,-4.50019,3.72358
41,410.0,-4.4997300000000005,3.71717
42,420.0,-4.49996,3.71061
43,430.0,-4.50004,3.70344
44,440.0,-4.49981,3.69657
45,450.0,-4.4996599999999995,3.6894
46,460.0,-4.49981,3.6819300000000004
47,470.0,-4.50019,3.6743
48,480.0,-4.49989,3.66621
49,490.0,-4.50011,3.65827
50,500.0,-4.49996,3.6497300000000004
51,510.0,-4.49989,3.6411800000000003
52,520.0,-4.49996,3.6320300000000003
53,530.0,-4.49996,3.6230300000000004
54,540.0,-4.50004,3.61372
55,550.0,-4.49989,3.60395
56,560.0,-4.49996,3.59419
57,570.0,-4.49989,3.5841199999999995
58,580.0,-4.50004,3.5742
59,590.0,-4.49981,3.56474
60,600.0,-4.49996,3.55482
61,610.0,-4.50004,3.5455099999999997
62,620.0,-4.49981,3.53651
63,630.0,-4.50004,3.52735
64,640.0,-4.50004,3.51911
65,650.0,-4.50004,3.50996
66,660.0,-4.49996,3.50233
67,670.0,-4.5003400000000005,3.4947
68,680.0,-4.49996,3.4872199999999998
69,690.0,-4.49996,3.4802
70,700.0,-4.49981,3.47318
71,710.0,-4.50019,3.4664699999999997
72,720.0,-4.49996,3.45991
73,730.0,-4.50019,3.4538
74,740.0,-4.50011,3.44785
75,750.0,-4.49981,3.4422099999999998
76,760.0,-4.49996,3.4358
77,770.0,-4.50011,3.43015
78,780.0,-4.50004,3.42435
79,790.0,-4.50004,3.41871
80,800.0,-4.5003400000000005,3.4129099999999997
81,810.0,-4.50019,3.40726
82,820.0,-4.5002699999999995,3.40162
83,830.0,-4.49996,3.39551
84,840.0,-4.50004,3.3897199999999996
85,850.0,-4.49981,3.3837599999999997
86,860.0,-4.50004,3.37736
87,870.0,-4.49989,3.37079
88,880.0,-4.50011,3.3640800000000004
89,890.0,-4.49989,3.3570599999999997
90,900.0,-4.49989,3.34974
91,910.0,-4.50004,3.3418
92,920.0,-4.49989,3.33371
93,930.0,-4.50004,3.32471
94,940.0,-4.50004,3.31556
95,950.0,-4.49996,3.3054900000000003
96,960.0,-4.50004,3.2945
97,970.0,-4.50011,3.2826
98,980.0,-4.50004,3.26917
99,990.0,-4.49996,3.25422
100,1000.0,-4.49996,3.2372799999999997
101,1010.0,-4.49981,3.2166799999999998
102,1020.0,-4.49989,3.19211
103,1030.0,-4.49989,3.16175
104,1040.0,-4.50011,3.12375
105,1050.0,-4.50011,3.07614
106,1060.0,-4.50004,3.0154099999999997
107,1070.0,-4.49981,2.93591
108,1080.0,-4.50004,2.8201
109,1090.0,-4.50004,2.61761
110,1094.1900000000023,-4.50004,2.4998099999999996
