,Time (s),Current (A),Voltage (V)
0,0.0,4.0000800000000005,3.42939
1,10.0,3.99977,3.52399
2,20.0,3.99985,3.5792300000000004
3,30.0,3.99977,3.61067
4,40.0,3.99985,3.6225699999999996
5,50.0,3.99992,3.6317199999999996
6,60.0,3.99992,3.6407300000000005
7,70.0,4.0,3.6494199999999997
8,80.0,4.00031,3.6579699999999997
9,90.0,4.0,3.6665099999999997
10,100.0,4.0,3.6750599999999998
11,110.0,3.99992,3.68315
12,120.0,3.99992,3.6912300000000005
13,130.0,4.0000800000000005,3.6991699999999996
14,140.0,4.0,3.7068
15,150.0,3.99992,3.71443
16,160.0,4.0,3.72175
17,170.0,4.0,3.7292300000000003
18,180.0,3.99992,3.73564
19,190.0,4.00015,3.74281
20,200.0,4.0000800000000005,3.74937
21,210.0,3.99992,3.7551699999999997
22,220.0,4.0000800000000005,3.7612699999999997
23,230.0,4.0,3.7672199999999996
24,240.0,4.0000800000000005,3.77256
25,250.0,3.99992,3.7779
26,260.0,4.0000800000000005,3.78325
27,270.0,4.0000800000000005,3.78874
28,280.0,4.0000800000000005,3.79408
29,290.0,4.00015,3.79927
30,300.0,3.99985,3.80461
31,310.0,3.99985,3.8101
32,320.0,3.99992,3.81544
33,330.0,3.99992,3.8209400000000002
34,340.0,4.0,3.8265800000000003
35,350.0,4.0000800000000005,3.83253
36,360.0,3.99985,3.8383300000000005
37,370.0,3.99985,3.8442800000000004
38,380.0,4.00015,3.85039
39,390.0,4.00023,3.8563400000000003
40,400.0,3.99992,3.8629
41,410.0,4.0,3.8694599999999997
42,420.0,4.0000800000000005,3.8760199999999996
43,430.0,4.0000800000000005,3.8825800000000004
44,440.0,4.0,3.8893
45,450.0,4.0000800000000005,3.89601
46,460.0,3.99985,3.90257
47,470.0,3.99992,3.90944
48,480.0,3.99992,3.91569
49,490.0,3.99992,3.9221
50,500.0,3.99985,3.9285099999999997
51,510.0,4.00015,3.9349199999999995
52,520.0,3.99992,3.94118
53,530.0,3.99992,3.94743
54,540.0,4.00031,3.9530800000000004
55,550.0,4.00015,3.95888
56,560.0,3.99992,3.9651300000000003
57,570.0,4.0,3.97093
58,580.0,3.99969,3.9767300000000003
59,590.0,4.0000800000000005,3.98253
60,600.0,3.99985,3.9883300000000004
61,610.0,4.0,3.99413
62,620.0,3.99992,3.99977
63,630.0,4.0,4.00526
64,640.0,4.0,4.01106
65,650.0,4.00031,4.01671
66,660.0,4.0,4.02235
67,670.0,3.99977,4.028
68,680.0,3.99992,4.03365
69,690.0,4.0,4.03929
70,700.0,4.00015,4.0454
71,710.0,3.99992,4.05119
72,720.0,4.0000800000000005,4.0573
73,730.0,4.0,4.06325
74,740.0,3.99992,4.0695
75,750.0,3.99992,4.07561
76,760.0,3.99992,4.08186
77,770.0,3.99985,4.08858
78,780.0,3.99992,4.09499
79,790.0,4.0,4.10185
80,800.0,4.00015,4.10811
81,810.0,4.00015,4.115130000000001
82,820.0,4.0,4.12215
83,830.0,4.0000800000000005,4.12902
84,840.0,3.99985,4.13603
85,850.0,4.00015,4.1429
86,860.0,4.0000800000000005,4.1500699999999995
87,870.0,3.99985,4.15679
88,880.0,3.99992,4.16381
89,890.0,4.00015,4.17082
90,900.0,4.00015,4.17739
91,910.0,3.99992,4.18395
92,920.0,3.99985,4.19081
93,930.0,3.99992,4.19707
94,933.9099999999162,4.0,4.1999699999999995
95,933.9399999999441,3.8333699999999995,4.19722
96,943.9399999999441,3.84016,4.2018
97,953.9399999999441,3.6346199999999995,4.20195
98,963.9399999999441,3.47349,4.20165
99,973.9399999999441,3.32921,4.2018
100,983.9399999999441,3.1973,4.2018
101,993.9399999999441,3.0683599999999998,4.2018
