,Time (s),Current (A),Voltage (V)
0,0.0,-4.50004,4.03471
1,10.0,-4.49989,4.008319999999999
2,20.0,-4.49996,3.9904599999999997
3,30.0,-4.5002699999999995,3.9764199999999996
4,40.0,-4.49981,3.96452
5,50.0,-4.49989,3.95384
6,60.0,-4.49989,3.94438
7,70.0,-4.50004,3.9350699999999996
8,80.0,-4.50011,3.92668
9,90.0,-4.49981,3.9184400000000004
10,100.0,-4.50011,3.91051
11,110.0,-4.50004,3.90257
12,120.0,-4.50004,3.8954
13,130.0,-4.50004,3.8877699999999997
14,140.0,-4.50019,3.8806
15,150.0,-4.50004,3.87373
16,160.0,-4.50004,3.86671
17,170.0,-4.49989,3.85954
18,180.0,-4.49996,3.85267
19,190.0,-4.49989,3.8458099999999997
20,200.0,-4.49989,3.83879
21,210.0,-4.50011,3.83207
22,220.0,-4.50004,3.82536
23,230.0,-4.49996,3.8188
24,240.0,-4.50019,3.81178
25,250.0,-4.50004,3.80537
26,260.0,-4.5002699999999995,3.79927
27,270.0,-4.50011,3.7924
28,280.0,-4.50019,3.7858400000000003
29,290.0,-4.50004,3.77989
30,300.0,-4.50011,3.77348
31,310.0,-4.5002699999999995,3.76707
32,320.0,-4.50011,3.7611199999999996
33,330.0,-4.49996,3.75441
34,340.0,-4.5002699999999995,3.74815
35,350.0,-4.50011,3.7414400000000003
36,360.0,-4.49996,3.73503
37,370.0,-4.50004,3.72862
38,380.0,-4.50019,3.72206
39,390.0,-4.50011,3.71519
40,400.0,-4.49981,3.70848
41,410.0,-4.49996,3.7017599999999997
42,420.0,-4.5002699999999995,3.69444
43,430.0,-4.49989,3.68696
44,440.0,-4.50011,3.6794800000000003
45,450.0,-4.5002699999999995,3.67155
46,460.0,-4.49989,3.66316
47,470.0,-4.50011,3.65476
48,480.0,-4.49989,3.6459099999999998
49,490.0,-4.49996,3.6366099999999997
50,500.0,-4.50004,3.6273
51,510.0,-4.49996,3.61723
52,520.0,-4.49989,3.607
53,530.0,-4.49996,3.5963199999999995
54,540.0,-4.49989,3.58564
55,550.0,-4.49981,3.57465
56,560.0,-4.49989,3.56397
57,570.0,-4.50004,3.5536
58,580.0,-4.49989,3.5430699999999997
59,590.0,-4.50019,3.53361
60,600.0,-4.49989,3.5238400000000003
61,610.0,-4.49996,3.5140800000000003
62,620.0,-4.50004,3.5055300000000003
63,630.0,-4.50004,3.4963800000000003
64,640.0,-4.49996,3.48814
65,650.0,-4.50004,3.4802
66,660.0,-4.50004,3.4724199999999996
67,670.0,-4.50004,3.4649400000000004
68,680.0,-4.49996,3.4579199999999997
69,690.0,-4.50011,3.45075
70,700.0,-4.49996,3.4438800000000005
71,710.0,-4.49989,3.4371699999999996
72,720.0,-4.49989,3.43046
73,730.0,-4.50019,3.4242
74,740.0,-4.49996,3.41764
75,750.0,-4.50011,3.4113800000000003
76,760.0,-4.49981,3.40513
77,770.0,-4.49996,3.3987199999999995
78,780.0,-4.49996,3.39246
79,790.0,-4.50011,3.38605
80,800.0,-4.50011,3.37964
81,810.0,-4.50011,3.37293
82,820.0,-4.50011,3.3662199999999998
83,830.0,-4.49981,3.3592
84,840.0,-4.49981,3.3520300000000005
85,850.0,-4.49996,3.3447
86,860.0,-4.50011,3.3369199999999997
87,870.0,-4.49989,3.3286800000000003
88,880.0,-4.50011,3.32059
89,890.0,-4.50019,3.3115900000000003
90,900.0,-4.49996,3.3021300000000005
91,910.0,-4.50019,3.29175
92,920.0,-4.50019,3.2804599999999997
93,930.0,-4.50004,3.26825
94,940.0,-4.50004,3.25483
95,950.0,-4.49989,3.24002
96,960.0,-4.50019,3.22293
97,970.0,-4.50004,3.2034
98,980.0,-4.50004,3.18036
99,990.0,-4.49989,3.15274
100,1000.0,-4.50004,3.1207
101,1010.0,-4.49981,3.08164
102,1020.0,-4.50004,3.03586
103,1030.0,-4.49981,2.98123
104,1040.0,-4.50011,2.91424
105,1050.0,-4.49996,2.82437
106,1060.0,-4.50004,2.6943599999999996
107,1070.0,-4.50004,2.52193
108,1071.1199999999953,-4.50004,2.4998099999999996
