,Time (s),Current (A),Voltage (V)
0,0.0,-4.49989,4.0212900000000005
1,10.0,-4.50004,3.99306
2,20.0,-4.50011,3.97459
3,30.0,-4.50004,3.9605599999999996
4,40.0,-4.49989,3.9485
5,50.0,-4.50011,3.9385800000000004
6,60.0,-4.49996,3.92866
7,70.0,-4.50011,3.9199699999999997
8,80.0,-4.49996,3.9114199999999997
9,90.0,-4.50004,3.90288
10,100.0,-4.49996,3.8954
11,110.0,-4.50019,3.88746
12,120.0,-4.50004,3.8801400000000004
13,130.0,-4.49989,3.8725099999999997
14,140.0,-4.50004,3.86534
15,150.0,-4.50004,3.8580099999999997
16,160.0,-4.49989,3.851
17,170.0,-4.50019,3.84352
18,180.0,-4.49996,3.83665
19,190.0,-4.50011,3.82948
20,200.0,-4.49996,3.82277
21,210.0,-4.49996,3.81575
22,220.0,-4.49981,3.80919
23,230.0,-4.50004,3.8020099999999997
24,240.0,-4.50011,3.7959099999999997
25,250.0,-4.50011,3.7895
26,260.0,-4.49996,3.7824800000000005
27,270.0,-4.49996,3.7762300000000004
28,280.0,-4.4997300000000005,3.77012
29,290.0,-4.50004,3.76341
30,300.0,-4.49996,3.75715
31,310.0,-4.49996,3.7505900000000003
32,320.0,-4.50011,3.7441800000000005
33,330.0,-4.49989,3.7376199999999997
34,340.0,-4.50011,3.73106
35,350.0,-4.50011,3.72465
36,360.0,-4.5002699999999995,3.71748
37,370.0,-4.50004,3.7107699999999997
38,380.0,-4.49989,3.7039
39,390.0,-4.50019,3.69657
40,400.0,-4.50019,3.68925
41,410.0,-4.49996,3.6814699999999996
42,420.0,-4.49989,3.67323
43,430.0,-4.50011,3.66514
44,440.0,-4.49996,3.6564400000000004
45,450.0,-4.50011,3.6471400000000003
46,460.0,-4.50004,3.63691
47,470.0,-4.50004,3.62699
48,480.0,-4.50011,3.61616
49,490.0,-4.49989,3.6048699999999996
50,500.0,-4.50004,3.5929699999999998
51,510.0,-4.50004,3.58106
52,520.0,-4.49996,3.56947
53,530.0,-4.49996,3.5577199999999998
54,540.0,-4.50004,3.5464300000000004
55,550.0,-4.50004,3.5354400000000004
56,560.0,-4.49989,3.52506
57,570.0,-4.50004,3.51453
58,580.0,-4.49989,3.50507
59,590.0,-4.49996,3.49546
60,600.0,-4.49981,3.48631
61,610.0,-4.49989,3.47761
62,620.0,-4.49996,3.46906
63,630.0,-4.50004,3.4608199999999996
64,640.0,-4.49989,3.4527400000000004
65,650.0,-4.50004,3.44541
66,660.0,-4.49996,3.4380900000000003
67,670.0,-4.49996,3.43076
68,680.0,-4.50011,3.4235900000000004
69,690.0,-4.50004,3.4165699999999997
70,700.0,-4.50004,3.40955
71,710.0,-4.49996,3.4028400000000003
72,720.0,-4.49989,3.3959699999999997
73,730.0,-4.50019,3.3892599999999997
74,740.0,-4.50004,3.3822400000000004
75,750.0,-4.49989,3.37552
76,760.0,-4.50019,3.3685099999999997
77,770.0,-4.50019,3.3614900000000003
78,780.0,-4.49996,3.35431
79,790.0,-4.50004,3.3468400000000003
80,800.0,-4.4997300000000005,3.33921
81,810.0,-4.50004,3.3318800000000004
82,820.0,-4.49996,3.32349
83,830.0,-4.4997300000000005,3.31525
84,840.0,-4.50004,3.30671
85,850.0,-4.49989,3.2974
86,860.0,-4.49989,3.28809
87,870.0,-4.49996,3.27756
88,880.0,-4.50004,3.26642
89,890.0,-4.50004,3.25406
90,900.0,-4.50019,3.2410900000000002
91,910.0,-4.49996,3.2266
92,920.0,-4.49996,3.21042
93,930.0,-4.49989,3.19257
94,940.0,-4.50004,3.17182
95,950.0,-4.50004,3.1480099999999998
96,960.0,-4.50019,3.12039
97,970.0,-4.50004,3.08865
98,980.0,-4.49996,3.0526400000000002
99,990.0,-4.50011,3.0112900000000002
100,1000.0,-4.49996,2.96414
101,1010.0,-4.49996,2.9079900000000003
102,1020.0,-4.4997300000000005,2.83963
103,1030.0,-4.50004,2.75189
104,1040.0,-4.49996,2.6478200000000003
105,1050.0,-4.49996,2.5236099999999997
106,1051.6800000000512,-4.50019,2.4999599999999997
