id ;created_date;component;name ;smiles
1;15June2020;Lithium hexafluorophosphate;Lithium hexafluorophosphate;LiPF6
2;16June2020;ethylene carbonate dimethyl carbonate,  lithium perchlorate 1M;lithium perchlorate;LiClO4
